State	'integer'	'char'	'boolean'	'string'	'type'	'='	'array'	'['	']'	'of'	'struct'	'{'	'}'	';’	':'	'function'	'('	')'	',’	'var'	'if'	'else'	'while'	'do'	'break'	'continue'	'&&'	'||'	'<'	'>'	'<='	'>='	'=='	'!='	'+'	'-'	'*'	'/'	'++'	'--'	'!'	'.'	Id	'true'	'false'	c	s	n	$	P'	P	LDE	DE	T	DT	DC	DF	LP	B	LDV	LS	DV	LI	S	U	M	E	L	R	Y	F	LE	LV	IDD	IDU	ID	TRUE	FALSE	CHR	STR	NUM	NB	MF	MC	NF	MT	ME	MW	
141	 	 	 	 	r24	 	 	 	 	 	 	r24	r24	 	 	r24	 	 	 	r24	r24	r24	r24	r24	r24	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r24	 	 	 	 	 	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
142	 	 	 	 	 	 	 	 	 	 	 	r81	 	 	 	 	 	 	 	 	s66	 	s67	s68	s71	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	161	65	160	 	 	 	 	 	 	70	 	73	 	 	 	 	 	 	69	 	 	 	 	 	 	 
143	 	 	 	 	 	 	 	 	r38	 	 	 	 	r38	 	 	 	r38	r38	 	 	 	 	 	 	 	r38	r38	s118	s119	s120	s121	s122	s123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
144	 	 	 	 	 	 	 	 	r39	 	 	 	 	r39	 	 	 	r39	r39	 	 	 	 	 	 	 	r39	r39	s118	s119	s120	s121	s122	s123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
145	 	 	 	 	 	 	 	 	r41	 	 	 	 	r41	 	 	 	r41	r41	 	 	 	 	 	 	 	r41	r41	r41	r41	r41	r41	r41	r41	s124	s125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
146	 	 	 	 	 	 	 	 	r42	 	 	 	 	r42	 	 	 	r42	r42	 	 	 	 	 	 	 	r42	r42	r42	r42	r42	r42	r42	r42	s124	s125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
147	 	 	 	 	 	 	 	 	r43	 	 	 	 	r43	 	 	 	r43	r43	 	 	 	 	 	 	 	r43	r43	r43	r43	r43	r43	r43	r43	s124	s125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
148	 	 	 	 	 	 	 	 	r44	 	 	 	 	r44	 	 	 	r44	r44	 	 	 	 	 	 	 	r44	r44	r44	r44	r44	r44	r44	r44	s124	s125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
149	 	 	 	 	 	 	 	 	r45	 	 	 	 	r45	 	 	 	r45	r45	 	 	 	 	 	 	 	r45	r45	r45	r45	r45	r45	r45	r45	s124	s125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
150	 	 	 	 	 	 	 	 	r46	 	 	 	 	r46	 	 	 	r46	r46	 	 	 	 	 	 	 	r46	r46	r46	r46	r46	r46	r46	r46	s124	s125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
151	 	 	 	 	 	 	 	 	r48	 	 	 	 	r48	 	 	 	r48	r48	 	 	 	 	 	 	 	r48	r48	r48	r48	r48	r48	r48	r48	r48	r48	s126	s127	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
152	 	 	 	 	 	 	 	 	r49	 	 	 	 	r49	 	 	 	r49	r49	 	 	 	 	 	 	 	r49	r49	r49	r49	r49	r49	r49	r49	r49	r49	s126	s127	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
153	 	 	 	 	 	 	 	 	r51	 	 	 	 	r51	 	 	 	r51	r51	 	 	 	 	 	 	 	r51	r51	r51	r51	r51	r51	r51	r51	r51	r51	r51	r51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
154	 	 	 	 	 	 	 	 	r52	 	 	 	 	r52	 	 	 	r52	r52	 	 	 	 	 	 	 	r52	r52	r52	r52	r52	r52	r52	r52	r52	r52	r52	r52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
155	 	 	 	 	 	 	 	 	r59	 	 	 	 	r59	 	 	 	r59	r59	 	 	 	 	 	 	 	r59	r59	r59	r59	r59	r59	r59	r59	r59	r59	r59	r59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
156	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	163	88	89	90	91	162	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
157	 	 	 	 	 	 	 	 	 	 	 	r85	r85	 	 	 	 	 	 	 	r85	r85	r85	r85	r85	r85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	164	 	 	 
158	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	165	88	89	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
159	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s166	 	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
160	 	 	 	 	 	 	 	 	 	 	 	r27	r27	 	 	 	 	 	 	 	r27	s167	r27	r27	r27	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
161	 	 	 	 	 	 	 	 	 	 	 	r29	r29	 	 	 	 	 	 	 	r29	 	r29	r29	r29	r29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
162	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s168	s169	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
163	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r69	r69	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
164	 	 	 	 	 	 	 	 	 	 	 	r81	 	 	 	 	 	 	 	 	s110	 	s67	s68	s71	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	170	 	 	 	 	 	 	70	 	73	 	 	 	 	 	 	69	 	 	 	 	 	 	 
165	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s171	 	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
166	 	 	 	 	 	 	 	 	 	 	 	r85	r85	 	 	 	 	 	 	 	r85	r85	r85	r85	r85	r85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	172	 	 	 
167	 	 	 	 	 	 	 	 	 	 	 	r86	r86	 	 	 	 	 	 	 	r86	r86	r86	r86	r86	r86	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r86	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	173	 	 
168	 	 	 	 	 	 	 	 	r60	 	 	 	 	r60	 	 	 	r60	r60	 	 	 	 	 	 	 	r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
169	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	174	88	89	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
170	 	 	 	 	 	 	 	 	 	 	 	r32	r32	 	 	 	 	 	 	 	r32	r32	r32	r32	r32	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
171	 	 	 	 	 	 	 	 	 	 	 	 	 	s175	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
172	 	 	 	 	 	 	 	 	 	 	 	r81	 	 	 	 	 	 	 	 	s110	 	s67	s68	s71	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	176	 	 	 	 	 	 	70	 	73	 	 	 	 	 	 	69	 	 	 	 	 	 	 
173	 	 	 	 	 	 	 	 	 	 	 	r81	 	 	 	 	 	 	 	 	s66	 	s67	s68	s71	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	178	177	 	 	 	 	 	 	70	 	73	 	 	 	 	 	 	69	 	 	 	 	 	 	 
174	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r68	r68	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
175	 	 	 	 	 	 	 	 	 	 	 	r33	r33	 	 	 	 	 	 	 	r33	r33	r33	r33	r33	r33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
176	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s179	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
177	 	 	 	 	 	 	 	 	 	 	 	r31	r31	 	 	 	 	 	 	 	r31	r31	r31	r31	r31	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
178	 	 	 	 	 	 	 	 	 	 	 	r30	r30	 	 	 	 	 	 	 	r30	 	r30	r30	r30	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
179	 	 	 	 	 	 	 	 	 	 	 	r86	r86	 	 	 	 	 	 	 	r86	r86	r86	r86	r86	r86	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r86	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	180	 	 
180	 	 	 	 	 	 	 	 	 	 	 	r81	 	 	 	 	 	 	 	 	s110	 	s67	s68	s71	s72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	177	 	 	 	 	 	 	70	 	73	 	 	 	 	 	 	69	 	 	 	 	 	 	 
